Bad Religion (WaveGroup) , Infected
Band Of Horses , Cigarettes, Wedding Bands
Band of Skulls , I Know What I Am
Bang Camaro , Push Push (Lady Lightning)
BB Brunes , Dis-Moi
Beastie Boys , Gratitude
Beastie Boys , Sabotage
Beastie Boys ft. Kerry King , No Sleep Till Brooklyn
Beatsteaks , Hail to the Freaks
Beck , Gamma Ray
Ben Harper and Relentless7 , Fly One Time
Ben Harper and Relentless7 , Number with No Name
Ben Harper and Relentless7 , Shimmer & Shine
Billy Idol , Dancing With Myself
Billy Idol , Rebel Yell
Billy Squier , Everybody Wants You
Billy Squier , Lonely Is The Night
Billy Squier , The Stroke
Billy Squier , When She Comes to Me
Black Label Society , Black Sunday
Black Label Society , Crazy Horse
Black Label Society , Parade of the Dead
Black Label Society , Stillborn
Black Rebel Motorcycle Club , Weapon of Choice
Black Sabbath , After Forever
Black Sabbath , Children of the Grave
Black Sabbath , Into The Void
Black Sabbath , Sweet Leaf
Black Sabbath (Steve Ouimette) , Paranoid
Black Sabbath (WaveGroup) , War Pigs
Blind Melon , No Rain
Blind Melon , Tones of Home
Blink 182 , The Rock Show
blink-182 , Adam's Song
blink-182 , All the Small Things
Blink-182 , Dammit (Growing Up)
blink-182 , First Date
Blink-182 , What's My Age Again?
Bloc Party , Helicopter
Blondie , One Way or Another
Blue Oyster Cult , Burnin' for You
Blue Oyster Cult , Godzilla
Blue Oyster Cult (WaveGroup) , Cities On Flame with Rock & Roll
Blur , Song 2
Blur , There's No Other Way
Bob Dylan , All Along The Watchtower
Bob Seger , Get Out of Denver
Bob Seger & the Silver Bullet Band , Her Strut
Bob Seger & the Silver Bullet Band , Hollywood Nights
Bob Seger & the Silver Bullet Band , Old Time Rock and Roll
Bob Seger and the Silver Bullet Band , Turn the Page (Live)
Bon Jovi , Livin' on a Prayer
Bon Jovi , You Give Love A Bad Name
Boston , More than a Feeling
Boston , Peace of Mind
Boston , Rock and Roll Band
Brad Paisley , Ticks
Brand New , Sic Transit Gloria... Glory Fades
Brand New , Sowing Season (Yeah)
Breaking Benjamin , Give Me a Sign
Breaking Benjamin , Sooner or Later
Breaking Benjamin , Until the End
Breaking Wheel , One For the Road
Bret Michaels Band , Go That Far
Brian Kahanek , Gemini
Bring Me The Horizon , Can You Feel My Heart
Brooks & Dunn , Hillbilly Deluxe
Bruce Springsteen , Born to Run
Bruce Springsteen , My Lucky Day
Buckethead , Jordan
Buckethead , Soothsayer
Bullet for My Valentine , Scream Aim Fire
Bunny Knutson , Lemon Frosting
Bush , Comedown
Bush , Machinehead
Buzzcocks , What Do I Get?
Capra , Low Day
Cheap Trick (WaveGroup) , Surrender
Children Of Bodom , Blooddrunk
Children Of Bodom , Done With Everything, Die For Nothing
Children of Bodom , If You Want Peace... Prepare for War
Children Of Bodom , Living Dead Beat
Children Of Bodom , Was It Worth It?
Chimaira , On Broken Glass
Cody ChesnuTT , Look Good in Leather
Coldplay , God Put a Smile Upon Your Face
Coldplay , In My Place
Coldplay , Shiver
Coldplay , Violet Hill
Coldplay , Yellow
Corrosion of Conformity , Albatross
Count Zero , Radium Eyes
Cream (WaveGroup) , Sunshine of Your Love
Creedence Clearwater Revival , Bad Moon Rising
Creedence Clearwater Revival , Commotion
Creedence Clearwater Revival , Fortunate Son
Creedence Clearwater Revival , Proud Mary
Creedence Clearwater Revival , Travelin' Band
Creedence Clearwater Revival , Up Around the Bend
Danzig , Mother
Danzig (WaveGroup) , Mother
Danzig (WaveGroup) , Mother (Co-op)
Darker My Love , Blue Day
Darkest Hour , Beyond the Life You Know
Darkest Hour , Demon
Darkest Hour , Doomsayer (The Beginning of the End)
Darkest Hour , Savor the Kill
David Bowie , Fame
Davidicus , You Really Like Me
Deep Purple , Burn
Deep Purple , Smoke on the Water
Deep Purple , Woman From Tokyo ('99 Remix)
Deep Purple (WaveGroup) , Hush
Deep Purple (WaveGroup) , Smoke On the Water
Def Leppard , Nine Lives
Def Leppard , Photograph (Live)
Def Leppard , Pour Some Sugar on Me (Live)
Def Leppard , Rock of Ages (Live)
Deftones , Hole in the Earth
Demi Lovato , Here We Go Again
Dethklok , Bloodlines
Dethklok , Laser Cannon Deth Sentence
Dethklok , Thunderhorse
Di-Rect , Johnny
Diamond Head , Am I Evil?
Dick Dale (WaveGroup) , Misirlou
